,final_price,list_price,bedrooms,bathrooms,sqft,parking,type,full_address,lat,long
195,818888.0,839900.0,4.51,3.0,,3.0,2,"289 Codsell Ave, Toronto ",43.7538245,-79.4605468
196,1060000.0,899000.0,3.0,1.0,,0.0,2,"120 Cambridge Ave, Toronto ",43.67945616363636,-79.35956655454545
197,1555000.0,1550000.0,5.52,4.0,,4.0,3,"41 Nairn Ave, Toronto ",43.67789069,-79.44898213666667
198,1078000.0,1089900.0,3.51,3.0,2000.0,1.0,2,"201 Torrens Ave, Toronto ",43.692012846967316,-79.34569311207987
199,832500.0,839900.0,2.0,1.0,,1.0,2,"88 Merrill Ave E, Toronto ",43.6827421111111,-79.31396409999998
200,1400000.0,1399000.0,3.53,3.0,3500.0,2.0,3,"139 Hillmount Ave, Toronto ",43.709168,-79.4380501
201,1750000.0,1795000.0,3.51,4.0,,2.0,3,"252 Castlefield Ave, Toronto ",43.70968062001653,-79.41011621187248
202,1325000.0,1099000.0,3.51,2.0,,1.0,2,"17 Wrenson Rd, Toronto ",43.67469652857143,-79.31654357142857
203,640000.0,629900.0,3.51,2.0,,3.0,3,"8 Berry Creek Dr, Toronto ",43.72122437494824,-79.56895830067579
204,765000.0,769500.0,3.0,3.0,2500.0,3.0,3,"37 Gladsmore Cres, Toronto ",43.72193945996138,-79.56288141518563
205,1150000.0,1178000.0,3.0,3.0,,4.0,3,"8 Harrow Dr, Toronto ",43.7025657,-79.4818631
206,1035000.0,849000.0,3.51,3.0,,1.0,3,"50 Melville Ave, Toronto ",43.670407211111105,-79.42347651481481
207,830000.0,798000.0,3.52,3.0,,1.0,3,"22 Ascot Ave, Toronto ",43.68002534285714,-79.44488134285714
208,760000.0,749000.0,3.52,3.0,,4.0,3,"6 Maresfield Dr, Toronto ",43.81972094884009,-79.26875061759391
209,736000.0,759000.0,3.51,3.0,1500.0,3.0,3,"148 Ingleton Blvd, Toronto ",43.8213901,-79.2671571
210,833000.0,849000.0,2.0,1.0,,1.0,2,"17 Battenberg Ave, Toronto ",43.66726094706773,-79.31612357832729
211,952513.0,919000.0,3.51,3.0,,2.0,3,"24 Lyncroft Dr, Toronto ",43.750849058995065,-79.18914267110344
212,830000.0,798000.0,3.52,3.0,,1.0,3,"22 Ascot Ave, Toronto ",43.68002534285714,-79.44488134285714
213,1240000.0,1298000.0,3.0,1.0,,1.0,3,"24 Roslin Ave, Toronto ",43.7298027,-79.40189150588233
214,801000.0,829900.0,3.0,1.0,,3.0,3,"21 Risdon Crt, Toronto ",43.66423717507861,-79.58430512781942
215,710000.0,724000.0,3.51,1.0,,4.0,3,"38 Benroyal Cres, Toronto ",43.76020385481471,-79.2432667838198
216,775000.0,760000.0,2.0,1.0,1500.0,2.0,3,"424 Pharmacy Ave, Toronto ",43.70330403343153,-79.28827527442743
217,2995000.0,2995000.0,4.53,4.0,,2.0,3,"382 Walmer Rd, Toronto ",43.6816758,-79.4119009
